id,cell_type,classification_system,pt_supervoxel_id,pt_root_id
394232,4P,excitatory_neuron,97896186413108456,864691135809568029
329189,4P,excitatory_neuron,92265037275848904,864691135511288016
516083,NGC,inhibitory_neuron,106331571372010414,864691136922722532
452052,23P,excitatory_neuron,101619132382247329,864691135463366557
225078,astrocyte,nonneuron,87055484007439516,864691135307114566
404160,6P-CT,excitatory_neuron,98326577167207619,864691135082898423
494176,astrocyte,nonneuron,104232740307839423,864691135772013051
268274,astrocyte,nonneuron,87771814356726989,864691135926316244
205393,6P-CT,excitatory_neuron,84468950951678581,864691136711042926
197430,5P-IT,excitatory_neuron,84389373931655378,864691136041048062
172430,OPC,nonneuron,82287313790536157,864691135492584799
470796,6P-IT,excitatory_neuron,102693493889134792,864691135919268016
87300,6P-IT,excitatory_neuron,77993170725562771,864691136319507934
420142,23P,excitatory_neuron,100563051597866066,864691136990712725
258640,23P,excitatory_neuron,89449326509784889,864691136111293624
589335,BC,inhibitory_neuron,111551434440391138,864691135065986884
259829,4P,excitatory_neuron,89309412715659634,864691136595471522
525882,5P-IT,excitatory_neuron,107326011657603682,864691135740942699
399234,5P-IT,excitatory_neuron,97687966868444720,864691135164186413
406593,microglia,nonneuron,98397977105998791,864691135927468756
432276,astrocyte,nonneuron,99167909385336526,864691135384138475
192499,4P,excitatory_neuron,84313850824077190,864691134965433119
342575,6P-CT,excitatory_neuron,93260715116343721,864691135810361036
366603,5P-ET,excitatory_neuron,94451897183921449,864691135477028264
307332,oligo,nonneuron,91220502437438172,864691136723556093
525704,astrocyte,nonneuron,106905242167380841,864691136008413612
568284,6P-IT,excitatory_neuron,109800461971936358,864691135429481008
613181,4P,excitatory_neuron,114289355899992478,864691136194016214
266397,astrocyte,nonneuron,88190728555000690,864691135937335861
580221,MC,inhibitory_neuron,110482915162542143,864691135942124404
82131,astrocyte,nonneuron,77567453768528108,864691136618894043
171647,6P-IT,excitatory_neuron,80950307114753794,864691136057209560
326893,23P,excitatory_neuron,93809234046720472,864691135409775817
153558,23P,excitatory_neuron,80932921624004597,864691136723572989
223715,23P,excitatory_neuron,87127431823049537,864691134949523964
298359,5P-IT,excitatory_neuron,90227848790661281,864691136601570257
226641,microglia,nonneuron,86212982887187226,864691135134635680
339890,6P-CT,excitatory_neuron,93963783478815885,864691135502591837
120001,5P-IT,excitatory_neuron,78759805208036826,864691135565407319
405887,oligo,nonneuron,97131751423733702,864691135341137329
467643,oligo,nonneuron,102198575345693926,864691135194395690
165536,BPC,inhibitory_neuron,82210004849274589,864691135293510668
187071,astrocyte,nonneuron,84941259042892681,864691135939386881
276719,6P-IT,excitatory_neuron,89324807019570137,864691135431108912
492693,5P-IT,excitatory_neuron,103667523014497186,864691135658819202
311518,6P-IT,excitatory_neuron,89887481759087392,864691136274567181
108949,23P,excitatory_neuron,78470358235318767,864691135776614752
190687,23P,excitatory_neuron,82764707928596039,864691135181969666
87705,oligo,nonneuron,77149020874653892,864691135503013213
306552,BPC,inhibitory_neuron,91573032614754730,864691135800060002
226343,4P,excitatory_neuron,87199725518059735,864691135468502098
344819,6P-CT,excitatory_neuron,93615170244676060,864691135498341907
200784,6P-IT,excitatory_neuron,83831233536545979,864691136362432738
582471,23P,excitatory_neuron,111822944757408624,864691135700648226
221037,23P,excitatory_neuron,85715590710854635,864691135939408900
333600,pericyte,nonneuron,93181756303587572,864691135593500971
555066,microglia,nonneuron,107956649557808672,864691135618082447
295240,23P,excitatory_neuron,91700301958498975,864691135361605703
154821,23P,excitatory_neuron,80583139017165705,864691136912133361
391994,4P,excitatory_neuron,96697581165463574,864691135374493257
307213,OPC,nonneuron,90518464128858597,864691135727846719
161406,5P-IT,excitatory_neuron,82067135916441879,864691135594207531
174913,6P-IT,excitatory_neuron,81654613568235947,864691136311805757
393690,4P,excitatory_neuron,98177386176301849,864691135991161224
361734,23P,excitatory_neuron,96062682792437229,864691135308087878
608552,23P,excitatory_neuron,112876551908959294,864691135105033549
235224,6P-IT,excitatory_neuron,87207834953059106,864691135323894172
256257,microglia,nonneuron,89095077003625310,864691135060603291
