pre_pt_root_id,post_pt_root_id,n
864691135196385578,864691136742921308,5
864691135196444970,864691136743424348,2
864691135196632106,864691136741774684,1
864691135196633642,864691136741182812,1
864691135196643114,864691136725391357,1
864691135196752170,864691136724511485,1
864691135196752170,864691136725134589,1
864691135202304896,864691136741533532,1
864691135207714169,864691136739030126,1
864691135207714169,864691136741221468,1
864691135207714169,864691136743402862,2
864691135207714425,864691136725134589,1
864691135207747961,864691136742071900,1
864691135207749241,864691136742921308,2
864691135207749753,864691136741430364,1
864691135208409209,864691136724392701,1
864691135208423801,864691136724327165,1
864691135208441465,864691136725773053,1
864691135208522873,864691136744961252,1
864691135208676985,864691136724880893,3
864691135208676985,864691136736141422,1
864691135208682617,864691136724575741,1
864691135208693113,864691136741533532,1
864691135208705145,864691136741530460,1
864691135208720249,864691136758865774,1
864691135208975481,864691136736141422,1
864691135209080697,864691136724624125,1
864691135209080697,864691136740924764,1
864691135209080697,864691136742047324,1
